Código,Sigla,Contacto,Denominación
2600,O.S.T.C.A.R.A.,secretaria@ostcara.org.ar,OBRA SOCIAL DE LOS TRABAJADORES DE LA CARNE Y AFINES DE LA REPUBLICA ARGENTINA
2709,OSTAMMA,WWW.amma.org.ar,OBRA SOCIAL DE LOS TRABAJADORES ASOCIADOS A LA ASOCIACION MUTUAL MERCANTIL ARGENTINA
2808,,info@osceara.com.ar,OBRA SOCIAL DE LA CAMARA DE EMPRESARIOS DE AGENCIAS DE REMISES DE ARGENTINA
2907,OSAMMVC,osammvc@cablenet.com.ar,OBRA SOCIAL ASOCIACION MUTUAL METALURGICA VILLA CONSTITUCION
3009,O.S.PERS.A.A.M.S.,ospersaams@sancorsalud.com.ar,OBRA SOCIAL DEL PERSONAL ASOCIADO A ASOCIACION MUTUAL SANCOR
3108,OSPAÑA,www.ospana.com.ar,OBRA SOCIAL DE LOS INMIGRANTES ESPAÑOLES Y SUS DESCENDIENTES RESIDENTES EN LA REPUBLICA ARGENTINA
3207,,www.jerarquicos.com,OBRA SOCIAL DE TRABAJADORES SOCIOS DE LA ASOCIACION MUTUAL DEL PERSONAL JERARQUICO DE BANCOS OFICIALES NACIONALES-JERARQUICOS SALUD-
3306,OSTVENDRA,,OBRA SOCIAL DE TRABAJADORES VENDEDORES DE DIARIOS REVISTAS Y AFINES
3405,O.S.A.M.O.C,0810-555-6726,OBRA SOCIAL ASOCIACION  MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE
3504,O.S.TAX.B.A,,OBRA SOCIAL DE CONDUCTORES TITULARES DE TAXIS DE LA CIUDAD AUTONOMA DE BUENOS AIRES
3603,,www.osprogmed.com.ar,OBRA SOCIAL PROGRAMAS MEDICOS SOCIEDAD ARGENTINA DE CONSULTORIA MUTUAL
3702,OSYC,,OBRA SOCIAL  YACIMIENTOS CARBONIFEROS
3801,,,OBRA SOCIAL  WITCEL
100106,OSIAD,0810-345-6742,"OBRA SOCIAL PARA EL PERSONAL DE LA INDUSTRIA ACEITERA, DESMOTADORA Y AFINES"
100304,OSTVLA,www.tecnicosdevuelo.org.ar,OBRA SOCIAL DE TECNICOS DE VUELO DE LINEAS AEREAS
100403,OSPEA,www.upsa-ospea.com.ar,OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESAS AEROCOMERCIALES
100502,OSPA,www.ospa.com.ar,OBRA SOCIAL DEL PERSONAL AERONAUTICO
100601,OSPADEP,www.ospadep.com.ar,OBRA SOCIAL DEL PERSONAL DE AERONAVEGACION DE ENTES PRIVADOS
100700,OSPTA,www.aviones.com,OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO
100809,OSA,www.osa-aeronavegantes.com,OBRA SOCIAL DE AERONAVEGANTES
100908,OSEADI,WWW.OSEADI.COM.AR,OBRA SOCIAL  EMPLEADOS DE AGENCIAS DE INFORMES
101000,OSPAGA,www.ospaga.com.ar,OBRA SOCIAL DEL PERSONAL DE AGUAS GASEOSAS Y AFINES
101109,OSARPYH,osarpyh@starphymdp.com.ar,"OBRA SOCIAL DE ALFAJOREROS, REPOSTEROS, PIZZEROS Y HELADEROS"
101208,OSPIA,www.ospia.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DE LA ALIMENTACION
101604,OSPACA,www.ospaca.com,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL  CLUB ARGENTINO
101802,OSPA,"ospalesp@arnetbiz,com.ar",OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LA ESPERANZA
101901,OSPAIL,,OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LEDESMA
102300,OSPA,ospasalta102300@gmail.com,OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN
102706,OSPIA,ospia@tucbbs.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA
102904,,0-800-222-7203,"OBRA SOCIAL DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y ANEXOS"
103006,OSPIB,,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA
103105,OSPICAL,institucional@ospical.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZADO
103204,,aliciak@spdps.com.ar,OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS
103402,OSPCYD,www.geocities.com,OBRA SOCIAL DEL PERSONAL DE CARGA Y DESCARGA
103600,OSPACP,www.ospacp.org.ar,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES
103709,OSPIC,www.ospic-caucho.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO
103808,OSPECA,www.ospeca.org.ar,OBRA SOCIAL DEL PERSONAL DEL CAUCHO
103907,OSPIC SANTA FE,oscauchostafe@yahoo.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SANTA FE
104009,OSPCRA,0800-555-6772,OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS DE LA REPUBLICA ARGENTINA.
104108,OSCE,,OBRA SOCIAL DE CERAMISTAS
104207,OSPCSPMYA,www.ospecesa.com.ar,"OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES"
104306,OSPACA,www.oscervecera.org.ar,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA Y AFINES
104405,OSPERCIN,,OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA
104504,OSPIC,www.sicacine.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA
104603,OSOC,,OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS
104801,OSCAMGLYP,oscamglyp@speedy.com.ar,"OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS"
105002,OSCONARA,www.siconara.org.ar,OBRA SOCIAL DE CONDUCTORES NAVALES
105309,OSPATCA,www.ospatca.com.ar,OBRA SOCIAL DEL PERSONAL ADMINISTRATIVO Y TECNICO DE LA CONSTRUCCION Y AFINES
105408,OSPECON,www.construirsalud.com.ar.,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION
105507,OSUCI,obrasocial@uci.org.ar,OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA
105606,OSPICA,www.ospica.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CUERO Y AFINES
105705,OSPICHA,,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y AFINES
105804,OSCHOCA,www.camioneros-ba.org.ar,OBRA SOCIAL DE CHOFERES DE CAMIONES
106005,OSPEDYC,www.ospedyc.org.ar,OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y CIVILES
106104,OSEDA,,OBRA SOCIAL DE EMPLEADOS DE DESPACHANTES DE ADUANA
106203,OSPEDICI,info@ospedici.org.ar,OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMATOGRAFICAS DE LA R.A.
106302,OSDOP,0800-6666-450,OBRA SOCIAL DE DOCENTES PARTICULARES
106401,OSPERYHRA,www.fateryh.org.ar,OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA REPUBLICA ARGENTINA
106500,OSPERYH,www.fateryh.org.ar,OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES  Y GRAN BUENOS AIRES
106609,OSEN,www.osensalud.com.ar,OBRA SOCIAL ELECTRICISTAS NAVALES
106708,,victoria@neunt.com.ar,OBRA SOCIAL DE OBREROS EMPACADORES DE FRUTA  DE RIO NEGRO Y NEUQUEN
106807,OSPEP,www.ospepweb.com.ar,OBRA SOCIAL DEL PERSONAL DE LA ENSEÑANZA PRIVADA
106906,OSPEPBA,www.personalescribanias.org.ar,OBRA SOCIAL DEL PERSONAL DE ESCRIBANIAS DE LA PROVINCIA DE BUENOS AIRES
107008,OSPE,www.ospe.org.ar,OBRA SOCIAL DEL PERSONAL DE ESCRIBANOS
107107,OSPEP,www.ospepsalud.com.ar,OBRA SOCIAL DEL PERSONAL DEL ESPECTACULO PUBLICO
107206,OSPESGYPE,www.soesgype.org.ar,"OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO Y LAVADEROS AUTOMATICOS"
107404,OSPF,www.ospf.org.ar,OBRA SOCIAL DEL PERSONAL DE FARMACIA
107800,OSPIF,osdelfibro@hotmail.com,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO
107909,OSPIF,ospif-central@speedy.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA FIDEERA
108001,OSPIFSE,www.ospifse.com.ar,OBRA SOCIAL  PARA EL PERSONAL DE LA INDUSTRIA FORESTAL DE SANTIAGO DEL ESTERO
108100,OSPIF,www.redospif.com.ar,"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO, ENCENDIDO Y AFINES"
108209,OSFOT,osfot@speedy.com.ar,OBRA SOCIAL DE FOTOGRAFOS
108407,OSPAF,OSPAF@YAHOO.COM.AR,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD FRUTICOLA
108506,OSFYHC,,"OBRA SOCIAL DEL PERSONAL DE MANIPULEO, EMPAQUE Y EXPEDICION DE FRUTA FRESCA Y HORTALIZAS DE CUYO"
108605,FAA,www.agremiados.com.ar,OBRA SOCIAL DE FUTBOLISTAS
108704,OSTECF,www.ostecf.com.ar,OBRA SOCIAL DE TECNICOS DE FUTBOL
108803,OSUTHGRA,www.uthgra.org.ar,"OBRA SOCIAL  DE LA UNION  DE TRABAJADORES  DEL TURISMO, HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA"
109004,OSPG,,OBRA SOCIAL DEL PERSONAL GRAFICO
109202,,www.osocialguincheros.com,OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS MOVILES
109301,OSPEMER,,OBRA SOCIAL DEL PERSONAL DE CONSIGNATARIOS DEL MERCADO NACIONAL DE HACIENDA DE LINIERS
109400,OSPIHMP,www.stihmpra.hypermart.net,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL HIELO Y MERCADOS PARTICULARES
109509,OSPHGBAYSI,0800-888-5377,OBRA SOCIAL DEL PERSONAL DE LOS HIPODROMOS DE BUENOS AIRES Y SAN ISIDRO
109608,,,OBRA SOCIAL DEL PERSONAL MENSUALIZADO DEL JOCKEY CLUB DE BUENOS AIRES Y LOS HIPODROMOS DE PALERMO Y SAN ISIDRO
109707,OSPIDA,www.ospida.org.ar,"OBRA SOCIAL DEL PERSONAL DE IMPRENTA, DIARIOS Y AFINES"
110008,OSPEJ,www.osjaboneros.com.ar,OBRA SOCIAL DEL PERSONAL DE JABONEROS
110107,OSJPVYF,0800-666-7386,"OBRA SOCIAL DE JARDINEROS, PARQUISTAS, VIVERISTAS Y FLORICULTORES DE LA REPUBLICA ARGENTINA"
110206,,,OBRA SOCIAL DEL PERSONAL DEL JOCKEY CLUB DE ROSARIO
110305,OSPL,secretariamedica@o-s-p-l.org,OBRA SOCIAL DEL PERSONAL LADRILLERO
110404,OSPILM,www.ospilm.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQUINA
110503,OSPIL,obrasocial@atilra.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA
110602,OSDEL,locutores@sinectis.com.ar,OBRA SOCIAL DE LOCUTORES
110701,OSFATLYF,www.osfatlyf-salud.com.ar,OBRA SOCIAL DE LA FEDERACION ARGENTINA DE TRABAJADORES DE LUZ Y FUERZA
110800,OSTEE,www.osteeluzmedica.com.ar,OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRICIDAD
110909,OSLYF,luzfuerzacbasalud.com.ar,OBRA SOCIAL DEL PERSONAL DE LUZ Y FUERZA DE CORDOBA
111001,OSPIM,contacto@ospim.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA
111209,OSPM,www.somlimpieza.com.ar,OBRA SOCIAL DEL PERSONAL DE MAESTRANZA
111308,,osmtt@osmtt.org.ar,OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION
111407,OSCOMM,0800-6667266,OBRA SOCIAL DE CAPITANES DE ULTRAMAR Y OFICIALES DE LA MARINA MERCANTE
111506,OSCAPBAQFLU,,OBRA SOCIAL DE CAPITANES BAQUEANOS FLUVIALES DE LA MARINA MERCANTE
111605,OSEMM,,OBRA SOCIAL DE EMPLEADOS DE LA MARINA MERCANTE
111704,OSEAM,oseam@speedy.com.ar,OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS
111803,OSPM,ospm@teletel.com.ar,OBRA SOCIAL DEL PERSONAL MARITIMO
111902,OSMATA,www.smata.com.ar,OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR
112004,OSPS MERCEDES,www.ospsmba.com.ar,OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ ARGENTINA
112103,OSUOMRA,www.forjarsalud.com.ar,OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA
112202,OSSIMRA,www.ossimra.org.ar,OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REPUBLICA ARGENTINA
112301,OSPEMOM,ospemom@ospemom.org.ar,OBRA SOCIAL DEL PERSONAL DE  MICROS Y OMNIBUS DE MENDOZA
112400,O.S.A.M.,,OBRA SOCIAL DE LA ACTIVIDAD MINERA
112509,OSMA,osmodelos@fibertel.com.ar,OBRA SOCIAL MODELOS ARGENTINOS
112608,OSPIM,www.ospim.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA
112707,OSPM,mosaistas@hotmail.com,OBRA SOCIAL DEL PERSONAL MOSAISTA
112806,OSDEM,www.osdem.arg.ar,OBRA SOCIAL DE MUSICOS
113205,OSJONR,radionaval@arnet.com.ar,OBRA SOCIAL DE JEFES Y OFICIALES NAVALES DE RADIOCOMUNICACIONES
113304,OSJOMN,www.maquinaval.com.ar,OBRA SOCIAL DE JEFES Y OFICIALES MAQUINISTAS NAVALES
113403,OSPENA,ospena1340@hotmail.com,OBRA SOCIAL DEL PERSONAL NAVAL
113601,OSPIN,ospin@sinectis.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL NEUMATICO
113700,OSPIN,osnavales@yahoo.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA NAVAL
113809,,0800-333-6726,OBRA SOCIAL DE COMISARIOS NAVALES
113908,OSPEP,0800-999-3861,OBRA SOCIAL DEL PERSONAL DE PANADERIAS
114000,OSSPYFER,,"OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE RIOS"
114109,OSPPCYQ,www.ospapel.org.ar,"OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS"
114208,OSIPA,stipa@arnet.com.ar,OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS
114307,OSTPCHPYARA,fatpchpya@infovia.com.ar,"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA"
114505,,WWW.OSPATRONES.COM.AR,OBRA SOCIAL DE PATRONES DE CABOTAJE DE RIOS Y PUERTOS
114703,OSPPEA,www.peluquerosargentinos.com,"OBRA SOCIAL DEL PERSONAL DE PELUQUERIAS, ESTETICAS Y AFINES"
114901,OSOFPP DE ROSARIO,www.sindicatopeluq-ros.com.ar,OBRA SOCIAL DE OFICIALES PELUQUEROS Y PEINADORES DE ROSARIO
115003,OSPAP,www.ospap.org.ar,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA
115102,OSTPBA,www.ostpba.org.ar,OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AIRES
115201,OSPIP,,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PESCADO DE MAR DEL PLATA
115300,OSPE,www.ospesalud.com.ar,OBRA SOCIAL DE PETROLEROS
115409,OSPEGAP,www.petroleoygas.com.ar,OBRA SOCIAL DEL PETROLEO Y GAS PRIVADO
115508,O.S.PE.COR,www.ospecor.com.ar,OBRA SOCIAL DE PETROLEROS DE CORDOBA
115607,OSPIP,administracion@ospip-os.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA PETROQUIMICA
115706,OSPLA,www.ospla.org.ar,OBRA SOCIAL PARA PILOTOS DE LINEAS AEREAS COMERCIALES Y REGULARES
115805,UPFPARA,http://www.ospfp.org.ar/,OBRA SOCIAL DEL PERSONAL DE FABRICAS DE PINTURA
116006,OSPIP,www.ospip.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO
116105,OSCEP,capatacesport@hotmail.com,OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS
116204,OSPA,www.ospaport.com.ar,OBRA SOCIAL DE PORTUARIOS ARGENTINOS
116709,,obrasocial@cooportuaria.com,OBRA SOCIAL PORTUARIOS  PUERTO SAN MARTIN Y BELLA VISTA
117207,OSPPRA,www.osppra.com.ar,OBRA SOCIAL DEL PERSONAL DE PRENSA DE LA REPUBLICA ARGENTINA
117405,,prensabblanca@bvconline.com.ar,OBRA SOCIAL DEL PERSONAL DE PRENSA DE BAHIA BLANCA
117702,OSPREN,www.prensamardelplata.org.ar,OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLATA
117801,,prensaludmza@hprensaludmza.org.ar,OBRA SOCIAL DEL PERSONAL DE PRENSA DE MENDOZA
118002,OSEPC,www.prensalud.com.ar,OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA
118200,OSAPM,www.apm.org.ar,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA
118309,OSAPMCBA,www.osapmcba.com.ar,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE CORDOBA
118408,OSAPMER,apmentrario@infovia.com.ar,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ENTRE RIOS
118507,,0800-333-0276,OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ROSARIO
118606,OSPP,ospp@ciudad.com.ar,OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD
118705,OSPIQYP,www.ospiqyp.org.ar,OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS
118804,OSRGA,,OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS
118903,,osprbyl@arnet.com.ar,OBRA SOCIAL DEL PERSONAL DE RECOLECCION Y BARRIDO DE ROSARIO
119005,,Osprem@arnetbiz.com.ar,OBRA SOCIAL DEL PERSONAL DE REFINERIAS DE MAIZ
119203,OSRJA,www.osrja..org.ar,OBRA SOCIAL DE RELOJEROS Y JOYEROS
119302,OSPRERA,www.osprera.com.ar,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA
119500,OSPSA,www.sanidad.org.ar,OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA
119609,OSPIS,www.ospis.com.ar,OBRA SOCIAL DEL PERSONAL DE INSTALACIONES SANITARIAS
119708,OSPSIP,0800-333-6777,"OBRA SOCIAL DEL PERSONAL DE SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS"
119906,,www.fideisalud.com.ar,OBRA SOCIAL DE SERENOS DE BUQUES
120306,OSPSESBA,ospesba@fibertel.com.ar,OBRA SOCIAL DEL PERSONAL DE SUPERVISION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES
120405,OSPDESBA,ospdesba@speedy.com.ar,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES
120504,OSPIT,ospitabaco@infovia.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABACO
120603,OSETRA,www.suetra-tabacos.com.ar,OBRA SOCIAL DE EMPLEADOS DEL TABACO DE LA REPUBLICA ARGENTINA
120702,OSTEL,www.ostel.org,OBRA SOCIAL DEL PERSONAL DE LAS TELECOMUNICACIONES DE LA REPUBLICA ARGENTINA
120801,OSTRAC,www.aatrac.org.ar,OBRA SOCIAL DE TRABAJADORES DE LAS COMUNICACIONES
120900,OSPTV,www.tvsalud.com.ar,OBRA SOCIAL DEL PERSONAL DE TELEVISION
121002,OSPIT,www.ospit.org.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA TEXTIL
121101,OSETYA,www.osetya.com.ar,OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES
121309,OSPIT,soeita@yahoo.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TRACTOR
121507,OSITAC,aoita@ositac.org.ar,OBRA SOCIAL DE LA INDUSTRIA DEL TRANSPORTE  AUTOMOTOR DE CORDOBA
121606,,,OBRA SOCIAL CONDUCTORES DE TRANSPORTE COLECTIVO DE PASAJEROS
121705,OSPAT,www.ospat.com.ar,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF
121804,OSTC,osct-cba@hotmaail.com.ar,OBRA SOCIAL CONDUCTORES DE TAXIS DE CORDOBA
121903,,www.vareadores.com.art,OBRA SOCIAL DE VAREADORES
122005,OSPIV,www.osvestido.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO
122104,OSVVRA,www.redsocialfuva.org.ar,OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)
122302,OSPA-VIAL,ospacentral@yahoo.com.ar,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VIAL
122401,OSEIV,oseiv.vidrio@hotmail.com,OBRA SOCIAL DE  EMPLEADOS DE LA INDUSTRIA DEL VIDRIO
122500,OSPIV,www.soivavidrio.com.ar,OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO
122609,OSPAV,www.ospav.com.ar,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VITIVINICOLA
122807,OSPEVIC,www.ospevic.org.ar,"OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS DE CORDOBA"
122906,OSPESGA,www.ospesga.com.ar,"OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS Y LAVADEROS AUTOMATICOS DE LA PROVINCIA DE SANTA FE"
123008,OSPES,www.ospes.org.ar,"OBRA SOCIAL PARA EL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO, LAVADEROS AUTOMATICOS Y GOMERIAS DE LA REPUBLICA ARGENTINA"
123107,OSTAD,ostad@fibertel.com.ar,OBRA SOCIAL TALLERISTAS A DOMICILIO
123305,OSPESA,auditoria@ospesa.com.ar,OBRA SOCIAL DEL PERSONAL DE SOCIEDADES DE AUTORES Y AFINES
123404,OSPRO,ospro@arnet.com.ar,OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO
123503,OSPRENTUC,osprentuc@yahoo.com,OBRA SOCIAL DEL PERSONAL DE PRENSA DE TUCUMAN
123602,OSTP,0800-444-0663,OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C
123701,OSPETAX,www.ospetax.org.ar,OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDERAL
123909,OSVARA,,OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA
124001,OSBARA,,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA
124506,OSTIG,ostig@impsat 1.com.ar.,OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GAS
125103,OSPUAYE,ospuaye@apuaye.org.ar,OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA
